GPK;ATC;HoofdGroep;SubGroep;Generiek;Product;Etiket;Vorm;Route;Sterkte;Eenheid;StandDose;DoseEenheid;Indicaties;InFormDb
165573;J05AF06;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ABACAVIR;ZIAGEN 20 MG/ML DRANK;ABACAVIR 20MG/ML DRANK;drank;or;20.00;mg/ml;20.00;mg;HIV;165573
165565;J05AF06;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ABACAVIR;ZIAGEN 300 MG TABLET;ABACAVIR 300MG TABLET;tablet;or;300.00;mg/stuk;300.00;mg;HIV;165565
140813;L04AA24;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ABATACEPT;ORENCIA 125 MG/ML WWSP 1 ML;ABATACEPT 125MG/ML INJVLST;injectievloeistof;sc;125.00;mg/ml;125.00;mg;Juveniele Idiopathische Arthritis (J.I.A.)||Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS);140813
127434;L04AA24;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ABATACEPT;ORENCIA 250 MG POEDER VOOR INFUSIE;ABATACEPT 250MG INFPDR;poeder voor oplossing voor infusie;iv;250.00;mg/stuk;250.00;mg;Juveniele Idiopathische Arthritis (J.I.A.)||Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS);127434
20303;B01AA07;ANTITHROMBOTICA;ANTITHROMBOTICA;ACENOCOUMAROL;ACENOCOUMAROL 1MG TABLET;ACENOCOUMAROL 1MG TABLET;tablet;or;1.00;mg/stuk;1.00;mg;Antistolling;20303
110140;S01EC01;MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK;GLAUCOOMMIDDELEN EN MIOTICA;ACETAZOLAMIDE;DIAMOX 500 MG POEDER VOOR INJECTIE;ACETAZOLAMIDE 500MG INJPDR;poeder voor injectievloeistof;iv;500.00;mg/stuk;500.00;mg;Epilepsie, adjuvante therapie ||Verlaging intraoculaire druk||Verlaging intracraniele druk||Diureticum bij oedeem;110140
14516;S01EC01;MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK;GLAUCOOMMIDDELEN EN MIOTICA;ACETAZOLAMIDE;ACETAZOLAMIDE 250 MG TABLET;ACETAZOLAMIDE 250MG TABLET;tablet;or;250.00;mg/stuk;62.50;mg;Epilepsie, adjuvante therapie ||Verlaging intraoculaire druk||Verlaging intracraniele druk||Diureticum bij oedeem;14516
54550;R05CB01;HOEST- EN VERKOUDHEIDSMIDDELEN;EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.;ACETYLCYSTEINE;FLUIMUCIL 200 MG CAPSULE;ACETYLCYSTEINE 200MG CAPSUL;capsule;or;200.00;mg/stuk;200.00;mg;Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie;54550
41653;R05CB01;HOEST- EN VERKOUDHEIDSMIDDELEN;EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.;ACETYLCYSTEINE;ACETYLCYSTEINE 200 MG SACHET;ACETYLCYSTEINE 200MG POEDER;poeder voor oraal gebruik;or;200.00;mg/stuk;200.00;mg;Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie;41653
80624;R05CB01;HOEST- EN VERKOUDHEIDSMIDDELEN;EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.;ACETYLCYSTEINE;ACETYLCYSTEINE 600 MG SACHET;ACETYLCYSTEINE 600MG POEDER;poeder voor oraal gebruik;or;600.00;mg/stuk;600.00;mg;Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie;80624
38539;R05CB01;HOEST- EN VERKOUDHEIDSMIDDELEN;EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.;ACETYLCYSTEINE;FLUIMUCIL 100 MG/ML AMPUL 4 ML;ACETYLCYSTEINE 100MG/ML VER;vernevelvloeistof;inh;100.00;mg/ml;100.00;mg;Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie;38539
117153;B01AC06;ANTITHROMBOTICA;ANTITHROMBOTICA;ACETYLSALICYLZUUR;ACETYLSALICYLZUUR NEURO 30 MG TABLET;ACETYLSALICYLZUUR 30MG DISP;dispergeerbare tablet;or;30.00;mg/stuk;30.00;mg;;117153
117145;B01AC06;ANTITHROMBOTICA;ANTITHROMBOTICA;ACETYLSALICYLZUUR;ACETYLSALICYLZUUR CARDIO 80 MG TABLET;ACETYLSALICYLZUUR 80MG DISP;dispergeerbare tablet;or;80.00;mg/stuk;40.00;mg;;117145
109983;J05AB01;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ACICLOVIR;ACICLOVIR 25 MG/ML FLACON 10ML;ACICLOVIR 25MG/ML INF CONC;concentraat voor oplossing voor infusie;iv;25.00;mg/ml;25.00;mg;HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons);109983
74462;J05AB01;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ACICLOVIR;ZOVIRAX 40 MG/ML SUSPENSIE 125 ML;ACICLOVIR 40MG/ML SUSPENSIE;suspensie voor oraal gebruik;or;40.00;mg/ml;40.00;mg;HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons);74462
54003;J05AB01;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ACICLOVIR;ACICLOVIR 200 MG TABLET;ACICLOVIR 200MG TABLET;tablet;or;200.00;mg/stuk;200.00;mg;HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons);54003
72125;J05AB01;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ACICLOVIR;ACICLOVIR 800 MG TABLET;ACICLOVIR 800MG TABLET;tablet;or;800.00;mg/stuk;400.00;mg;HSV/VSV infectie||Ooginfectie, herpes simplex||Koortslip||Congenitale HSV infectie||Herpes simplex encefalitis||VZV infectie bij immuungecompromitteerde patiënten||Herpes simplex infecties (normale en deficiente immuunrespons), varicella zoster (normale immuunrespons);72125
118621;L04AB04;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ADALIMUMAB;HUMIRA 40 KIND INJVLST 50 MG/M LFLACON 0,8 ML;ADALIMUMAB 50MG/ML INJVLST;injectievloeistof;sc;50.00;mg/ml;50.00;mg;Ziekte van Crohn||Polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis||Overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, Blau syndroom en Chronische Recidiverende Multifocale Osteomyelitis (CRMO)/Synovitis, Acne, Pustulose, Hyperostose en Ostitis (SAPHO);118621
