AppMap;GStandMap;PedFormMap;ValueUnitMap
;1 eenmalig;;
antenoctum;1 per dag;;1 Times[Count]/Day[Time]
1 x / dag;1 per dag;;1 Times[Count]/Day[Time]
2 x / dag;2 per dag;;2 Times[Count]/Day[Time]
3 x / dag;3 per dag;;3 Times[Count]/Day[Time]
4 x / dag;4 per dag;;4 Times[Count]/Day[Time]
5 x / dag;5 per dag;;5 Times[Count]/Day[Time]
6 x / dag;6 per dag;;6 Times[Count]/Day[Time]
6 x / dag;1 per 4 uur;;1 Times[Count]/4 Hour[Time]
7 x / dag;7 per dag;;7 Times[Count]/Day[Time]
8 x / dag;8 per dag;;8 Times[Count]/Day[Time]
9 x / dag;9 per dag;;9 Times[Count]/Day[Time]
10 x / dag;10 per dag;;10 Times[Count]/Day[Time]
11 x / dag;11 per dag;;11 Times[Count]/Day[Time]
12 x / dag;12 per dag;;12 Times[Count]/Day[Time]
24 x / dag;24 per dag;;24 Times[Count]/Day[Time]
1 x / 2 dagen;1 per 2 dagen;;1 Times[Count]/2 Day[Time]
1 x / 3 dagen;1 per 3 dagen;;1 Times[Count]/3 Day[Time]
1 x / 36 uur;2 per 3 dagen;;2 Times[Count]/3 Day[Time]
1 x / 36 uur;2 per 3 dagen;;1 Times[Count]/36 Hour[Time]
1 x / week;1 per week;;1 Times[Count]/Week[Time]
2 x / week;2 per week;;2 Times[Count]/Week[Time]
3 x / week;3 per week;;3 Times[Count]/Week[Time]
4 x / week;4 per week;;4 Times[Count]/Week[Time]
1 x / 2 weken;1 per 2 weken;;1 Times[Count]/2 Week[Time]
1 x / 4 weken;1 per 4 weken;;1 Times[Count]/4 Week[Time]
1 x / 12 weken;1 per 12 weken;;1 Times[Count]/12 Week[Time]
1 x / 13 weken;1 per 13 weken;;1 Times[Count]/13 Week[Time]
1 x / 1 maand;1 per maand;;1 Times[Count]/Month[Time]
