GPK	Generic	Shape	Route	DoseType	Dep	CVL	PVL	DiluentVol	Diluent	MinAge	MaxAge	MinWeight	MaxWeight	MinDose	MaxDose	Solutions	MinVol	MaxVol	MinPerc	MaxPerc	MinTime	MaxTime	MinRate	MaxRate	RateUnit	Substance	Unit	Quantities	MinQty	MaxQty	MinConc	MaxConc
127434	abatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										abatacept						
127434	abatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										abatacept						
127434	abatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										abatacept						
110140	acetazolamide injectiepoeder 500mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										acetazolamide						
110140	acetazolamide injectiepoeder 500mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										acetazolamide						
110140	acetazolamide injectiepoeder 500mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										acetazolamide						
53767	acetylcysteine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										acetylcysteine						
53767	acetylcysteine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										acetylcysteine						
53767	acetylcysteine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										acetylcysteine						
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										acetylsalicylzuur						
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										acetylsalicylzuur						
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										acetylsalicylzuur						
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										acetylsalicylzuur						
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										acetylsalicylzuur						
10154	acetylsalicylzuur pdr v injvlst 500mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										acetylsalicylzuur						
109983	aciclovir infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										aciclovir						
109983	aciclovir infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										aciclovir						
109983	aciclovir infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										aciclovir						
44687	aciclovir infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										aciclovir						
44687	aciclovir infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										aciclovir						
44687	aciclovir infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										aciclovir						
161624	adenosine infusievlst 2mg/ml	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										adenosine						
161624	adenosine infusievlst 2mg/ml	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										adenosine						
161624	adenosine infusievlst 2mg/ml	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										adenosine						
101230	adenosine infusievlst 3mg/ml	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										adenosine						
101230	adenosine infusievlst 3mg/ml	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										adenosine						
101230	adenosine infusievlst 3mg/ml	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										adenosine						
92789	adenosine injectievlst 3mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										adenosine						
92789	adenosine injectievlst 3mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										adenosine						
92789	adenosine injectievlst 3mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										adenosine						
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										adrenaline						
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										adrenaline						
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										adrenaline						
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										adrenaline						
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										adrenaline						
170976	adrenaline injvlst 0,1mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										adrenaline						
170933	adrenaline injvlst 0,5mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										adrenaline						
170933	adrenaline injvlst 0,5mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										adrenaline						
170933	adrenaline injvlst 0,5mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										adrenaline						
170925	adrenaline injvlst 1mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										adrenaline						
170925	adrenaline injvlst 1mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										adrenaline						
170925	adrenaline injvlst 1mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										adrenaline						
170925	adrenaline injvlst 1mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										adrenaline						
170925	adrenaline injvlst 1mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										adrenaline						
170925	adrenaline injvlst 1mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										adrenaline						
100056	alanylglutamine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										alanylglutamine						
100056	alanylglutamine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										alanylglutamine						
100056	alanylglutamine infopl conc 200mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										alanylglutamine						
128295	albumine infvlst  40mg/ml	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										albumine						
128295	albumine infvlst  40mg/ml	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										albumine						
128295	albumine infvlst  40mg/ml	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										albumine						
11975	albumine infvlst 200mg/ml	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										albumine						
11975	albumine infvlst 200mg/ml	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										albumine						
11975	albumine infvlst 200mg/ml	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										albumine						
85839	alfacalcidol injvlst 2ug/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										alfacalcidol						
85839	alfacalcidol injvlst 2ug/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										alfacalcidol						
85839	alfacalcidol injvlst 2ug/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										alfacalcidol						
44644	alfentanil injvlst 0,5mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										alfentanil						
44644	alfentanil injvlst 0,5mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										alfentanil						
44644	alfentanil injvlst 0,5mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										alfentanil						
65498	alprostadil infopl conc 0,5mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										alprostadil						
65498	alprostadil infopl conc 0,5mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										alprostadil						
65498	alprostadil infopl conc 0,5mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										alprostadil						
89664	alteplase infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										alteplase						
89664	alteplase infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										alteplase						
89664	alteplase infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										alteplase						
69205	alteplase infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										alteplase						
69205	alteplase infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										alteplase						
69205	alteplase infusiepoeder 50mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										alteplase						
65986	amfotericine b infusiepoeder  50mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										amfotericine b						
65986	amfotericine b infusiepoeder  50mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										amfotericine b						
65986	amfotericine b infusiepoeder  50mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										amfotericine b						
92266	amfotericine b infusiepoeder  50mg (liposomaal)	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										amfotericine b						
92266	amfotericine b infusiepoeder  50mg (liposomaal)	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										amfotericine b						
92266	amfotericine b infusiepoeder  50mg (liposomaal)	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										amfotericine b						
86649	amikacine injvlst 250mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										amikacine						
86649	amikacine injvlst 250mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										amikacine						
86649	amikacine injvlst 250mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										amikacine						
86649	amikacine injvlst 250mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										amikacine						
86649	amikacine injvlst 250mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										amikacine						
86649	amikacine injvlst 250mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										amikacine						
65366	amiodaron injvlst 50mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										amiodaron						
65366	amiodaron injvlst 50mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										amiodaron						
65366	amiodaron injvlst 50mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										amiodaron						
13730	amoxicilline injectiepoeder  250mg	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
13730	amoxicilline injectiepoeder  250mg	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
13730	amoxicilline injectiepoeder  250mg	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
13730	amoxicilline injectiepoeder  250mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
13730	amoxicilline injectiepoeder  250mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
13730	amoxicilline injectiepoeder  250mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
13749	amoxicilline injectiepoeder  500mg	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
13749	amoxicilline injectiepoeder  500mg	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
13749	amoxicilline injectiepoeder  500mg	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
13749	amoxicilline injectiepoeder  500mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
13749	amoxicilline injectiepoeder  500mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
13749	amoxicilline injectiepoeder  500mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
13757	amoxicilline injectiepoeder 1000mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
53864	amoxicilline/clavulaanzuur infpdr 2000/200mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
53864	amoxicilline/clavulaanzuur infpdr 2000/200mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
53864	amoxicilline/clavulaanzuur infpdr 2000/200mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
53813	amoxicilline/clavulaanzuur injpdr  500/50mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
53813	amoxicilline/clavulaanzuur injpdr  500/50mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
53813	amoxicilline/clavulaanzuur injpdr  500/50mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
53821	amoxicilline/clavulaanzuur injpdr 1000/100mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
53821	amoxicilline/clavulaanzuur injpdr 1000/100mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
53821	amoxicilline/clavulaanzuur injpdr 1000/100mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
53856	amoxicilline/clavulaanzuur injpdr 1000/200mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										amoxicilline						
53856	amoxicilline/clavulaanzuur injpdr 1000/200mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										amoxicilline						
53856	amoxicilline/clavulaanzuur injpdr 1000/200mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										amoxicilline						
128708	anidulafungine infusiepoeder 100mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										anidulafungine						
128708	anidulafungine infusiepoeder 100mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										anidulafungine						
128708	anidulafungine infusiepoeder 100mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										anidulafungine						
189111	anifrolumab infopl conc 150mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										anifrolumab						
189111	anifrolumab infopl conc 150mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										anifrolumab						
189111	anifrolumab infopl conc 150mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										anifrolumab						
98698	antitrombine iii infusiepoeder  500ie	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										antitrombine iii						
98698	antitrombine iii infusiepoeder  500ie	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										antitrombine iii						
98698	antitrombine iii infusiepoeder  500ie	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										antitrombine iii						
138819	argatroban infopl conc 100mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										argatroban						
138819	argatroban infopl conc 100mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										argatroban						
138819	argatroban infopl conc 100mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										argatroban						
78492	arginine hcl infvlst 100mg/ml	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										arginine						
78492	arginine hcl infvlst 100mg/ml	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										arginine						
78492	arginine hcl infvlst 100mg/ml	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										arginine						
172103	arginine/lysine infvlst 25/25mg/ml	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										arginine						
172103	arginine/lysine infvlst 25/25mg/ml	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										arginine						
172103	arginine/lysine infvlst 25/25mg/ml	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										arginine						
175552	argipressine infopl conc 20ie/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										argipressine						
175552	argipressine infopl conc 20ie/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										argipressine						
175552	argipressine infopl conc 20ie/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										argipressine						
135569	artesunaat pdr v injvlst 60mg	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										artesunaat						
135569	artesunaat pdr v injvlst 60mg	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										artesunaat						
135569	artesunaat pdr v injvlst 60mg	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										artesunaat						
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										ascorbinezuur						
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										ascorbinezuur						
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										ascorbinezuur						
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										ascorbinezuur						
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										ascorbinezuur						
28401	ascorbinezuur injvlst 100mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										ascorbinezuur						
110809	atosiban infopl conc 7,5mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										atosiban						
110809	atosiban infopl conc 7,5mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										atosiban						
110809	atosiban infopl conc 7,5mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										atosiban						
110795	atosiban injvlst 7,5mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										atosiban						
110795	atosiban injvlst 7,5mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										atosiban						
110795	atosiban injvlst 7,5mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										atosiban						
53120	atracurium injvlst 10mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										atracurium						
53120	atracurium injvlst 10mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										atracurium						
53120	atracurium injvlst 10mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										atracurium						
105902	basiliximab infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										basiliximab						
105902	basiliximab infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										basiliximab						
105902	basiliximab infusiepoeder 20mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										basiliximab						
138991	belatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										belatacept						
138991	belatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										belatacept						
138991	belatacept infusiepoeder 250mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										belatacept						
136883	belimumab infusiepoeder 120mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										belimumab						
136883	belimumab infusiepoeder 120mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										belimumab						
136883	belimumab infusiepoeder 120mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										belimumab						
136891	belimumab infusiepoeder 400mg	poeder voor oplossing voor infusie	iv		ICC			1								NaCl;gluc5;gluc10										belimumab						
136891	belimumab infusiepoeder 400mg	poeder voor oplossing voor infusie	iv		PICU			1								NaCl;gluc5;gluc10										belimumab						
136891	belimumab infusiepoeder 400mg	poeder voor oplossing voor infusie	iv		NICU			1								NaCl;gluc5;gluc10										belimumab						
162868	benzylpenicilline (depot) injsusp 1.200.000ie	poeder voor suspensie voor injectie	im		ICC			1								NaCl;gluc5;gluc10										benzylpenicilline						
162868	benzylpenicilline (depot) injsusp 1.200.000ie	poeder voor suspensie voor injectie	im		PICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
162868	benzylpenicilline (depot) injsusp 1.200.000ie	poeder voor suspensie voor injectie	im		NICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18872	benzylpenicilline (natrium) injpdr  1.000.000ie	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										benzylpenicilline						
18872	benzylpenicilline (natrium) injpdr  1.000.000ie	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18872	benzylpenicilline (natrium) injpdr  1.000.000ie	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18872	benzylpenicilline (natrium) injpdr  1.000.000ie	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										benzylpenicilline						
18872	benzylpenicilline (natrium) injpdr  1.000.000ie	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18872	benzylpenicilline (natrium) injpdr  1.000.000ie	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										benzylpenicilline						
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										benzylpenicilline						
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	iv		PICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
18880	benzylpenicilline (natrium) injpdr 10.000.000ie	poeder voor injectievloeistof	iv		NICU			1								NaCl;gluc5;gluc10										benzylpenicilline						
113301	betamethason injsusp 5,7mg/ml	suspensie voor injectie	im		ICC			0								NaCl;gluc5;gluc10										betamethason						
113301	betamethason injsusp 5,7mg/ml	suspensie voor injectie	im		PICU			0								NaCl;gluc5;gluc10										betamethason						
113301	betamethason injsusp 5,7mg/ml	suspensie voor injectie	im		NICU			0								NaCl;gluc5;gluc10										betamethason						
123056	bevacizumab infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		ICC			0								NaCl;gluc5;gluc10										bevacizumab						
